Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,24-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,60,175,"$1,05,000","$42,000",40.00%,Outlet
Foot Locker,1185732,25-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,70,150,"$1,05,000","$36,750",35.00%,Outlet
Foot Locker,1185732,26-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75,250,"$1,87,500","$56,250",30.00%,Outlet
Foot Locker,1185732,27-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,70,475,"$3,32,500","$1,82,875",55.00%,Outlet
Foot Locker,1185732,28-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60,275,"$1,65,000","$57,750",35.00%,Outlet
Foot Locker,1185732,29-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,60,225,"$1,35,000","$54,000",40.00%,Outlet
Foot Locker,1185732,30-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,60,175,"$1,05,000","$42,000",40.00%,Outlet
Foot Locker,1185732,31-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,70,175,"$1,22,500","$42,875",35.00%,Outlet
Foot Locker,1185732,01-Jan-20,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75,275,"$2,06,250","$61,875",30.00%,Outlet
Foot Locker,1185732,26-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,42,41,"$1,722",$706.02,41.00%,Outlet
Foot Locker,1185732,27-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,32,70,"$2,240",$761.6,34.00%,Outlet
Foot Locker,1185732,28-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,32,166,"$5,312","$3,187.2",60.00%,Outlet
Foot Locker,1185732,29-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,32,44,"$1,408",$563.2,40.00%,Outlet
Foot Locker,1185732,30-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,25,54,"$1,350",$607.5,45.00%,Outlet
Foot Locker,1185732,31-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,28,17,$476,$199.92,42.00%,Outlet
Foot Locker,1185732,01-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,39,40,"$1,560",$577.2,37.00%,Outlet
Foot Locker,1185732,02-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,30,74,"$2,220",$777,35.00%,Outlet
Foot Locker,1185732,03-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,39,156,"$6,084","$3,528.72",58.00%,Outlet
Foot Locker,1185732,04-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,33,53,"$1,749",$647.13,37.00%,Outlet
Foot Locker,1185732,05-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,29,58,"$1,682",$756.9,45.00%,Outlet
Foot Locker,1185732,06-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,32,8,$256,$112.64,44.00%,Outlet
Foot Locker,1185732,07-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,41,24,$984,$334.56,34.00%,Outlet
Foot Locker,1185732,08-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,38,61,"$2,318",$718.58,31.00%,Outlet
Foot Locker,1185732,09-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35,140,"$4,900","$2,793",57.00%,Outlet
Foot Locker,1185732,10-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,37,51,"$1,887",$603.84,32.00%,Outlet
Foot Locker,1185732,11-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,27,51,"$1,377",$578.34,42.00%,Outlet
Foot Locker,1185732,12-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,36,24,$864,$328.32,38.00%,Outlet
Foot Locker,1185732,13-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,45,26,"$1,170",$432.9,37.00%,Outlet
Foot Locker,1185732,14-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,39,64,"$2,496",$673.92,27.00%,Outlet
Foot Locker,1185732,15-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,44,150,"$6,600","$3,432",52.00%,Outlet
Foot Locker,1185732,16-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,40,54,"$2,160",$712.8,33.00%,Outlet
Foot Locker,1185732,17-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,38,53,"$2,014",$745.18,37.00%,Outlet
Foot Locker,1185732,18-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,42,34,"$1,428",$571.2,40.00%,Outlet
Foot Locker,1185732,19-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,51,39,"$1,989",$735.93,37.00%,Outlet
Foot Locker,1185732,20-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,51,78,"$3,978","$1,471.86",37.00%,Outlet
Foot Locker,1185732,21-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,49,170,"$8,330","$4,748.1",57.00%,Outlet
Foot Locker,1185732,22-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,41,85,"$3,485","$1,359.15",39.00%,Outlet
Foot Locker,1185732,23-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,42,54,"$2,268",$975.24,43.00%,Outlet
Foot Locker,1185732,24-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43,53,"$2,279","$1,071.13",47.00%,Outlet
Foot Locker,1185732,25-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,43,48,"$2,064",$866.88,42.00%,Outlet
Foot Locker,1185732,26-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,52,105,"$5,460","$1,911",35.00%,Outlet
Foot Locker,1185732,27-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,49,175,"$8,575","$4,887.75",57.00%,Outlet
Foot Locker,1185732,28-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45,99,"$4,455","$1,737.45",39.00%,Outlet
Foot Locker,1185732,29-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,43,72,"$3,096","$1,331.28",43.00%,Outlet
Foot Locker,1185732,30-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,39,56,"$2,184","$1,026.48",47.00%,Outlet
Foot Locker,1185732,01-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,50,64,"$3,200","$1,280",40.00%,Outlet
Foot Locker,1185732,02-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50,116,"$5,800","$2,088",36.00%,Outlet
Foot Locker,1185732,03-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,51,179,"$9,129","$5,294.82",58.00%,Outlet
Foot Locker,1185732,04-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44,102,"$4,488","$1,884.96",42.00%,Outlet
Foot Locker,1185732,05-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,38,79,"$3,002","$1,410.94",47.00%,Outlet
Foot Locker,1185732,06-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43,62,"$2,666","$1,226.36",46.00%,Outlet
Foot Locker,1185732,07-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,46,54,"$2,484",$968.76,39.00%,Outlet
Foot Locker,1185732,08-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,49,123,"$6,027","$2,169.72",36.00%,Outlet
Foot Locker,1185732,09-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,46,162,"$7,452","$3,875.04",52.00%,Outlet
Foot Locker,1185732,10-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,40,91,"$3,640","$1,237.6",34.00%,Outlet
Foot Locker,1185732,11-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,32,60,"$1,920",$768,40.00%,Outlet
Foot Locker,1185732,12-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,32,53,"$1,696",$695.36,41.00%,Outlet
Foot Locker,1185732,13-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,36,41,"$1,476",$501.84,34.00%,Outlet
Foot Locker,1185732,14-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,48,79,"$3,792","$1,175.52",31.00%,Outlet
Foot Locker,1185732,15-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,47,124,"$5,828","$3,088.84",53.00%,Outlet
Foot Locker,1185732,16-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,35,68,"$2,380",$761.6,32.00%,Outlet
Foot Locker,1185732,17-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,38,38,"$1,444",$548.72,38.00%,Outlet
Foot Locker,1185732,18-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,40,34,"$1,360",$516.8,38.00%,Outlet
Foot Locker,1185732,19-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,43,30,"$1,290",$425.7,33.00%,Outlet
Foot Locker,1185732,20-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,42,74,"$3,108",$994.56,32.00%,Outlet
Foot Locker,1185732,21-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,48,124,"$5,952","$3,571.2",60.00%,Outlet
Foot Locker,1185732,22-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,43,68,"$2,924","$1,228.08",42.00%,Outlet
Foot Locker,1185732,23-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,47,66,"$3,102","$1,364.88",44.00%,Outlet
Foot Locker,1185732,24-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43,60,"$2,580","$1,186.8",46.00%,Outlet
Foot Locker,1185732,25-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,51,48,"$2,448",$954.72,39.00%,Outlet
Foot Locker,1185732,26-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,53,75,"$3,975","$1,431",36.00%,Outlet
Foot Locker,1185732,27-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,53,143,"$7,579","$4,623.19",61.00%,Outlet
Foot Locker,1185732,28-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,47,85,"$3,995","$1,637.95",41.00%,Outlet
Foot Locker,1185732,29-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,44,79,"$3,476","$1,529.44",44.00%,Outlet
Foot Locker,1185732,30-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,40,53,"$2,120",$954,45.00%,Outlet
Foot Locker,1185732,31-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,46,56,"$2,576","$1,004.64",39.00%,Outlet
Foot Locker,1185732,01-Jan-20,Northeast,Pennsylvania,Philadelphia,Women's Apparel,53,83,"$4,399","$1,407.68",32.00%,Outlet
Foot Locker,1185732,26-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,54,36,"$1,944",$874.8,45.00%,Online
Foot Locker,1185732,27-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,43,61,"$2,623","$1,154.12",44.00%,Online
Foot Locker,1185732,28-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,42,119,"$4,998","$3,348.66",67.00%,Online
Foot Locker,1185732,29-Oct-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44,35,"$1,540",$739.2,48.00%,Online
Foot Locker,1185732,30-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,34,46,"$1,564",$813.28,52.00%,Online
Foot Locker,1185732,31-Oct-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,39,13,$507,$263.64,52.00%,Online
Foot Locker,1185732,01-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,51,36,"$1,836",$844.56,46.00%,Online
Foot Locker,1185732,02-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,44,68,"$2,992","$1,346.4",45.00%,Online
Foot Locker,1185732,03-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,49,120,"$5,880","$4,116",70.00%,Online
Foot Locker,1185732,04-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,47,38,"$1,786",$875.14,49.00%,Online
Foot Locker,1185732,05-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,36,51,"$1,836",$991.44,54.00%,Online
Foot Locker,1185732,06-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43,8,$344,$175.44,51.00%,Online
Foot Locker,1185732,07-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,58,20,"$1,160",$464,40.00%,Online
Foot Locker,1185732,08-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,47,44,"$2,068",$723.8,35.00%,Online
Foot Locker,1185732,09-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,46,122,"$5,612","$3,535.56",63.00%,Online
Foot Locker,1185732,10-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45,45,"$2,025",$850.5,42.00%,Online
Foot Locker,1185732,11-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,38,38,"$1,444",$664.24,46.00%,Online
Foot Locker,1185732,12-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,42,20,$840,$386.4,46.00%,Online
Foot Locker,1185732,13-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,55,22,"$1,210",$508.2,42.00%,Online
Foot Locker,1185732,14-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,48,54,"$2,592",$933.12,36.00%,Online
Foot Locker,1185732,15-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,58,136,"$7,888","$4,969.44",63.00%,Online
Foot Locker,1185732,16-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,54,53,"$2,862","$1,144.8",40.00%,Online
Foot Locker,1185732,17-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,52,42,"$2,184","$1,004.64",46.00%,Online
Foot Locker,1185732,18-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,51,29,"$1,479",$695.13,47.00%,Online
Foot Locker,1185732,19-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,59,31,"$1,829",$768.18,42.00%,Online
Foot Locker,1185732,20-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,64,63,"$4,032","$1,814.4",45.00%,Online
Foot Locker,1185732,21-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,64,135,"$8,640","$5,616",65.00%,Online
Foot Locker,1185732,22-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,59,70,"$4,130","$1,899.8",46.00%,Online
Foot Locker,1185732,23-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,52,44,"$2,288","$1,144",50.00%,Online
Foot Locker,1185732,24-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,52,39,"$2,028","$1,074.84",53.00%,Online
Foot Locker,1185732,25-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,60,45,"$2,700","$1,242",46.00%,Online
Foot Locker,1185732,26-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,65,81,"$5,265","$2,211.3",42.00%,Online
Foot Locker,1185732,27-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60,145,"$8,700","$5,829",67.00%,Online
Foot Locker,1185732,28-Nov-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,55,90,"$4,950","$2,475",50.00%,Online
Foot Locker,1185732,29-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,51,59,"$3,009","$1,504.5",50.00%,Online
Foot Locker,1185732,30-Nov-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,51,44,"$2,244","$1,189.32",53.00%,Online
Foot Locker,1185732,01-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,64,60,"$3,840","$1,843.2",48.00%,Online
Foot Locker,1185732,02-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,64,98,"$6,272","$2,634.24",42.00%,Online
Foot Locker,1185732,03-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60,158,"$9,480","$6,256.8",66.00%,Online
Foot Locker,1185732,04-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,54,75,"$4,050","$1,903.5",47.00%,Online
Foot Locker,1185732,05-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,54,61,"$3,294","$1,811.7",55.00%,Online
Foot Locker,1185732,06-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,53,58,"$3,074","$1,659.96",54.00%,Online
Foot Locker,1185732,07-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,61,46,"$2,806","$1,290.76",46.00%,Online
Foot Locker,1185732,08-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,64,95,"$6,080","$2,614.4",43.00%,Online
Foot Locker,1185732,09-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,62,143,"$8,866","$5,319.6",60.00%,Online
Foot Locker,1185732,10-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,48,80,"$3,840","$1,536",40.00%,Online
Foot Locker,1185732,11-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,41,50,"$2,050",$922.5,45.00%,Online
Foot Locker,1185732,12-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,41,53,"$2,173","$1,021.31",47.00%,Online
Foot Locker,1185732,13-Dec-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,50,36,"$1,800",$810,45.00%,Online
Foot Locker,1185732,14-Dec-21,Northeast,Pennsylvania,Philadelphia,Women's Apparel,55,61,"$3,355","$1,342",40.00%,Online
